1	sum	3.809928	3.81	
2	et	2.751495	6.56	
3	qui	2.646158	9.21	
4	in	2.35953	11.57	
5	que	1.668215	13.24	
6	is	1.345433	14.58	
7	ad	1.250064	15.83	
8	non	1.086925	16.92	
9	cum	0.926613	17.84	
10	ab	0.886888	18.73	
11	ut	0.871935	19.6	
12	hic	0.830053	20.43	
13	sui	0.632769	21.07	
14	sed	0.575116	21.64	
15	suus	0.574372	22.22	
16	omnis	0.568569	22.78	
17	res	0.530258	23.31	
18	ex	0.528547	23.84	
19	neque	0.522745	24.37	
20	dico	0.513967	24.88	
21	per	0.50809	25.39	
22	ne	0.501097	25.89	
23	possum	0.474614	26.36	
24	de	0.458843	26.82	
25	atque	0.44999	27.27	
26	quam	0.449321	27.72	
27	ipse	0.447684	28.17	
28	ille	0.447089	28.62	
29	deus	0.413018	29.03	
30	facio	0.405133	29.43	
31	habeo	0.401711	29.84	
32	si	0.391445	30.23	
33	alius	0.353208	30.58	
34	magnus	0.330742	30.91	
35	primus	0.318244	31.23	
36	tu	0.315864	31.55	
37	secundus	0.300985	31.85	
38	romanus	0.297563	32.14	
39	aut	0.284991	32.43	
40	ego	0.279933	32.71	
41	pars	0.277404	32.99	
42	multus	0.272122	33.26	
43	do	0.264683	33.52	
44	hostis	0.258583	33.78	
45	enim	0.254863	34.04	
46	bellum	0.252185	34.29	
47	video	0.251441	34.54	
48	unus	0.249433	34.79	
49	rex	0.240952	35.03	
50	etiam	0.235596	35.27	
51	autem	0.231728	35.5	
52	consul	0.230314	35.73	
53	dies	0.225256	35.95	
54	tamen	0.212312	36.17	
55	idem	0.211493	36.38	
56	quia	0.208518	36.59	
57	ago	0.200409	36.79	
58	urbs	0.199888	36.99	
59	quis	0.198103	37.18	
60	locus	0.197805	37.38	
61	fero	0.197359	37.58	
62	tempus	0.193193	37.77	
63	ne	0.192747	37.97	
64	quo	0.192524	38.16	
65	causa	0.189697	38.35	
66	castrum	0.188878	38.54	
67	mitto	0.187316	38.72	
68	homo	0.184415	38.91	
69	tantus	0.182555	39.09	
70	iam	0.18196	39.27	
71	pater	0.178464	39.45	
72	verus	0.177794	39.63	
73	ergo	0.173777	39.8	
74	miles	0.171843	39.97	
75	corpus	0.171025	40.15	
76	bonus	0.168495	40.31	
77	ita	0.16604	40.48	
78	sicut	0.162767	40.64	
79	nomen	0.162023	40.81	
80	aliquis	0.160833	40.97	
81	exercitus	0.160089	41.13	
82	animus	0.15875	41.28	
83	dico	0.157411	41.44	
84	sic	0.156146	41.6	
85	quoque	0.154138	41.75	
86	inter	0.153096	41.91	
87	noster	0.152427	42.06	
88	meus	0.151013	42.21	
89	populus	0.150865	42.36	
90	intellego	0.150344	42.51	
91	duo	0.148335	42.66	
92	capio	0.14536	42.8	
93	modo	0.144095	42.95	
94	nullus	0.142756	43.09	
95	quidam	0.142756	43.23	
96	natura	0.139111	43.37	
97	pro	0.137772	43.51	
98	vel	0.136358	43.65	
99	nos	0.135615	43.78	
100	mille	0.133234	43.92	
101	fio	0.13316	44.05	
102	ratio	0.132788	44.18	
103	tuus	0.131597	44.31	
104	paruus	0.131449	44.44	
105	senatus	0.130035	44.57	
106	nihil	0.128101	44.7	
